,hp_sid,experiment_id,biomaterial_id,sample_id,biopsy_id,mg_per_biopsy_mean,mg_per_biopsy_std,mg_per_ml_mean,mg_per_ml_std,mg_per_cm2_mean,mg_per_cm2_std,net_weight_mg_x,tissue_areal_density_mg_per_cm2
8559,HP44-1366,HP44-20231130,,TGFBS231012G_0.005hyp_2,TGFBS231012G_0.005hyp_2,,,0.005492154,,,,,
8565,HP44-1367,HP44-20231130,,TGFBS231012G_0.000hyp_2,TGFBS231012G_0.000hyp_2,,,0.004801616,,,,,
8583,HP44-1368,HP44-20231130,,TGFBS231012G_0.025hyp_3,TGFBS231012G_0.025hyp_3,,,0.04734035,,,,,
8589,HP44-1369,HP44-20231130,,TGFBS231012G_0.020hyp_3,TGFBS231012G_0.020hyp_3,,,0.041307141,,,,,
8595,HP44-1370,HP44-20231130,,TGFBS231012G_0.015hyp_3,TGFBS231012G_0.015hyp_3,,,0.032562377,,,,,
8601,HP44-1371,HP44-20231130,,TGFBS231012G_0.010hyp_3,TGFBS231012G_0.010hyp_3,,,0.024732763,,,,,
8607,HP44-1372,HP44-20231130,,TGFBS231012G_0.005hyp_3,TGFBS231012G_0.005hyp_3,,,0.017614933,,,,,
8613,HP44-1373,HP44-20231130,,TGFBS231012G_0.000hyp_3,TGFBS231012G_0.000hyp_3,,,0.008056703,,,,,
8631,HP44-1374,HP44-20231130,,TGFBS231012G_0.025hyp_4,TGFBS231012G_0.025hyp_4,,,0.037543473,,,,,
8637,HP44-1375,HP44-20231130,,TGFBS231012G_0.020hyp_4,TGFBS231012G_0.020hyp_4,,,0.02895255,,,,,
8643,HP44-1376,HP44-20231130,,TGFBS231012G_0.015hyp_4,TGFBS231012G_0.015hyp_4,,,0.019959624,,,,,
8649,HP44-1377,HP44-20231130,,TGFBS231012G_0.010hyp_4,TGFBS231012G_0.010hyp_4,,,0.014376269,,,,,
8655,HP44-1378,HP44-20231130,,TGFBS231012G_0.005hyp_4,TGFBS231012G_0.005hyp_4,,,0.008465356,,,,,
8661,HP44-1379,HP44-20231130,,TGFBS231012G_0.000hyp_4,TGFBS231012G_0.000hyp_4,,,0.007110462,,,,,
8667,HP50-1380,HP50-20231204,,Gelatin_5,Gelatin_5,,,0.053380427,,,,,
8668,HP50-1381,HP50-20231204,,Gelatin_5,Gelatin_5,,,0.057389168,,,,,
8669,HP50-1382,HP50-20231204,,Gelatin_5,Gelatin_5,,,0.056321514,,,,,
8691,HP50-1383,HP50-20231204,,A-D01,No_ChT_EXP50_-A-D01-4,,,8.94E-06,,,,,
8692,HP50-1384,HP50-20231204,,A-D01,No_ChT_EXP50_-A-D01-4,,,0.003242169,,,,,
8721,HP50-1385,HP50-20231204,,A-D02,No_ChT_EXP50_-A-D02-4,,,0.068242569,,,,,
8742,HP40-1386,HP40-20231128,,Gelatin-1,Gelatin-1_1,,,0.064541884,,,,,
8746,HP40-1387,HP40-20231128,,Gelatin-1,Gelatin-1_2,,,0.062964987,,,,,
8750,HP40-1388,HP40-20231128,,Gelatin-1,Gelatin-1_3,,,0.063514512,,,,,
8754,HP40-1389,HP40-20231128,,Gelatin-2,Gelatin-2_1,,,0.036960158,,,,,
8758,HP40-1390,HP40-20231128,,Gelatin-2,Gelatin-2_2,,,0.037485791,,,,,
8762,HP40-1391,HP40-20231128,,Gelatin-2,Gelatin-2_3,,,0.037036614,,,,,
8766,HP40-1392,HP40-20231128,,Gelatin-3,Gelatin-3_1,,,0.035173008,,,,,
8770,HP40-1393,HP40-20231128,,Gelatin-3,Gelatin-3_2,,,0.035287692,,,,,
8774,HP40-1394,HP40-20231128,,Gelatin-3,Gelatin-3_3,,,0.034685604,,,,,
8778,HP40-1395,HP40-20231128,,Gelatin-4,Gelatin-4_1,,,0.052500126,,,,,
8782,HP40-1396,HP40-20231128,,Gelatin-4,Gelatin-4_2,,,0.052285095,,,,,
8786,HP40-1397,HP40-20231128,,Gelatin-4,Gelatin-4_3,,,0.050636521,,,,,
8802,HP40-1398,HP40-20231128,,Spent230928-1-D28-1,Spent230928-1-D28-1_1,,,0.019485202,,,,,
8806,HP40-1399,HP40-20231128,,Spent230928-1-D28-1,Spent230928-1-D28-1_2,,,0.019891203,,,,,
8810,HP40-1400,HP40-20231128,,Spent230928-1-D28-1,Spent230928-1-D28-1_3,,,0.019637452,,,,,
8814,HP40-1401,HP40-20231128,,Spent230928-1-D28-2,Spent230928-1-D28-2_1,,,0.005459575,,,,,
8818,HP40-1402,HP40-20231128,,Spent230928-1-D28-2,Spent230928-1-D28-2_2,,,0.005642275,,,,,
8822,HP40-1403,HP40-20231128,,Spent230928-1-D28-2,Spent230928-1-D28-2_3,,,0.005378374,,,,,
8826,HP40-1404,HP40-20231128,,Spent230928-1-D28-3,Spent230928-1-D28-3_1,,,0.016056202,,,,,
8830,HP40-1405,HP40-20231128,,Spent230928-1-D28-3,Spent230928-1-D28-3_2,,,0.016076502,,,,,
8834,HP40-1406,HP40-20231128,,Spent230928-1-D28-3,Spent230928-1-D28-3_3,,,0.016218603,,,,,
8838,HP40-1407,HP40-20231128,,Spent230928-1-D28-4,Spent230928-1-D28-4_1,,,0.021921208,,,,,
